group_id,display_name,group_record_count,match_reasons,source_file,source_index,name,slug,url,meta_title,h1_titles_count,sections_count,full_text_length,section_headings
6,Antiphospholipid Syndrome (APS),2,slug,modified_disease.json,7,Antiphospholipid Syndrome (APS),antiphospholipid-syndrome,https://www.niams.nih.gov/health-topics/antiphospholipid-syndrome,"Antiphospholipid Syndrome (APS) - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1898,Introduction | What is Antiphospholipid Syndrome (APS)? | Common Symptoms of Antiphospholipid Syndrome (APS) | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
6,Antiphospholipid Syndrome (APS),2,slug,common_diseases_conditions_offline.json,113,"Antiphospholipid Syndrome - Causes, Symptoms, Diagnosis, Treatment, and Prevention",antiphospholipid-syndrome,https://www.apollohospitals.com/diseases-and-conditions/antiphospholipid-syndrome,"Antiphospholipid Syndrome - Causes, Symptoms, Diagnosis, and Treatment",2,22,13218,Introduction | What is Antiphospholipid Syndrome? | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Symptoms | Warning Signs | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Complications | Short-Term and Long-Term Complications | Prevention | Prognosis & Long-Term Outlook | Factors Influencing Prognosis | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
7,Arthritis,2,slug,modified_disease.json,8,Arthritis,arthritis,https://www.niams.nih.gov/health-topics/arthritis,"Arthritis - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1697,Introduction | What is Arthritis? | Common Symptoms of Arthritis | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
7,Arthritis,2,slug,common_diseases_conditions_offline.json,145,"Arthritis - Causes, Symptoms and Treatment",arthritis,https://www.apollohospitals.com/diseases-and-conditions/arthritis,"Arthritis: Causes, types, and Diagnosis - Apollo Hospitals",1,13,10445,What is Arthritis? | Most Common Causes | Signs and Symptoms | When to See a Doctor? | Types of Arthritis | How is the Condition Diagnosed? | Treatment for Arthritis | Surgical Treatment Options | Foods that Heal Arthritis | Prevention and Management | Dos and Don’ts | Takeaway Message | FAQs for Arthritis
8,Asthma,2,slug,modified_disease.json,9,Asthma,asthma,https://www.nhlbi.nih.gov/health/asthma,"Asthma - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1575,Introduction | What is Asthma? | Common Symptoms of Asthma | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
8,Asthma,2,slug,common_diseases_conditions_offline.json,158,Asthma,asthma,https://www.apollohospitals.com/diseases-and-conditions/asthma,"Asthma : Causes, Symptoms, Diagnosis and Treatment",1,6,3264,Asthma Definition | Asthma Symptoms | Asthma Risk Factors | Asthma Diagnosis | Asthma Treatment | Short term (quick relief) medication:
9,Behçet's Disease,2,slug,modified_disease.json,12,Behçet's Disease,behcets-disease,https://www.niams.nih.gov/health-topics/behcets-disease,"Behçet's Disease - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1627,Introduction | What is Behçet's Disease? | Common Symptoms of Behçet's Disease | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
9,Behçet's Disease,2,slug,common_diseases_conditions_offline.json,214,"Behcets Disease - Causes, Symptoms, Diagnosis, Treatment, and Prevention",behcets-disease,https://www.apollohospitals.com/diseases-and-conditions/behcets-disease,"Behcets Disease - Causes, Symptoms, Diagnosis, and Treatment",2,22,11034,Introduction | What is Behçet's Disease? | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Symptoms | Warning Signs | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Complications | Short-Term and Long-Term Complications | Prevention | Prognosis & Long-Term Outlook | Factors Influencing Prognosis | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
10,Bronchitis,2,slug,modified_disease.json,13,Bronchitis,bronchitis,https://medlineplus.gov/acutebronchitis.html,"Bronchitis - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,946,Introduction | What is Bronchitis? | Common Symptoms of Bronchitis | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
10,Bronchitis,2,slug,common_diseases_conditions_offline.json,298,Bronchitis,bronchitis,https://www.apollohospitals.com/diseases-and-conditions/bronchitis,Bronchitis | Apollo Hospitals,1,7,2925,None | Definition | Types of Bronchitis | Causes of Bronchitis | Symptoms of Bronchitis | Diagnosis of Bronchitis | Treatment for Bronchitis
11,Chikungunya,2,slug,modified_disease.json,17,Chikungunya,chikungunya,https://www.who.int/news-room/fact-sheets/detail/chikungunya,"Chikungunya - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1276,Introduction | What is Chikungunya? | Common Symptoms of Chikungunya | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
11,Chikungunya,2,slug,common_diseases_conditions_offline.json,394,CHIKUNGUNYA,chikungunya,https://www.apollohospitals.com/diseases-and-conditions/chikungunya,"Chikangunya - Symptoms, Causes and Treatment - Apollo Hospital Blog",1,8,9295,Overview | Cause | Symptoms | Risk Factors | Diagnosis | Treatment | Prevention | FAQs
12,Dermatomyositis,2,slug,modified_disease.json,29,Dermatomyositis,dermatomyositis,https://www.niams.nih.gov/health-topics/myositis,"Dermatomyositis - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1726,Introduction | What is Dermatomyositis? | Common Symptoms of Dermatomyositis | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
12,Dermatomyositis,2,slug,common_diseases_conditions_offline.json,569,"Dermatomyositis - Causes, Symptoms, Diagnosis, Treatment, and Prevention",dermatomyositis,https://www.apollohospitals.com/diseases-and-conditions/dermatomyositis,"Dermatomyositis - Causes, Symptoms, Diagnosis, and Treatment",2,22,16207,Introduction | What is Dermatomyositis? | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Common Symptoms of Dermatomyositis | Warning Signs for Immediate Medical Attention | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Potential Complications | Short-Term and Long-Term Complications | Strategies for Prevention | Typical Course of the Disease | Factors Influencing Prognosis | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
13,Diphtheria,2,slug,modified_disease.json,32,Diphtheria,diphtheria,https://www.cdc.gov/diphtheria/symptoms/index.html,"Diphtheria - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,956,Introduction | What is Diphtheria? | Common Symptoms of Diphtheria | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
13,Diphtheria,2,slug,common_diseases_conditions_offline.json,599,Diphtheria,diphtheria,https://www.apollohospitals.com/diseases-and-conditions/diphtheria,Diphtheria | Apollo Hospitals,1,6,3241,None | Diphtheria Definition | Diphtheria Symptoms | Diphtheria Risk Factors | Diphtheria Diagnosis | Diphtheria Treatment
14,Discoid Lupus Erythematosus (DLE),2,slug,modified_disease.json,33,Discoid Lupus Erythematosus (DLE),discoid-lupus,https://www.niams.nih.gov/health-topics/lupus,"Discoid Lupus Erythematosus (DLE) - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,2000,Introduction | What is Discoid Lupus Erythematosus (DLE)? | Common Symptoms of Discoid Lupus Erythematosus (DLE) | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
14,Discoid Lupus Erythematosus (DLE),2,slug,common_diseases_conditions_offline.json,601,"Discoid Lupus - Causes, Symptoms, Diagnosis, Treatment, and Prevention",discoid-lupus,https://www.apollohospitals.com/diseases-and-conditions/discoid-lupus,"Discoid Lupus - Causes, Symptoms, Diagnosis, and Treatment",2,21,10961,Introduction | Definition | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Symptoms | Warning Signs | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Complications | Short-Term and Long-Term Complications | Prevention | Prognosis & Long-Term Outlook | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
15,Dupuytren's Contracture,2,slug,modified_disease.json,34,Dupuytren's Contracture,dupuytrens-contracture,https://www.niams.nih.gov/health-topics/dupuytrens-contracture,"Dupuytren's Contracture - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1632,Introduction | What is Dupuytren's Contracture? | Common Symptoms of Dupuytren's Contracture | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
15,Dupuytren's Contracture,2,slug,common_diseases_conditions_offline.json,628,"Dupuytrens Contracture - Causes, Symptoms, Diagnosis, Treatment, and Prevention",dupuytrens-contracture,https://www.apollohospitals.com/diseases-and-conditions/dupuytrens-contracture,"Dupuytrens Contracture - Causes, Symptoms, Diagnosis, and Treatment",2,22,11991,Introduction | What is Dupuytren's Contracture? | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Common Symptoms | Warning Signs | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Potential Complications | Short-Term and Long-Term Complications | Strategies for Prevention | Typical Course of the Disease | Factors Influencing Prognosis | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
16,Eczema (Atopic Dermatitis),2,slug,modified_disease.json,36,Eczema (Atopic Dermatitis),eczema,https://www.niams.nih.gov/health-topics/eczema,"Eczema (Atopic Dermatitis) - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1933,Introduction | What is Eczema (Atopic Dermatitis)? | Common Symptoms of Eczema (Atopic Dermatitis) | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
16,Eczema (Atopic Dermatitis),2,slug,common_diseases_conditions_offline.json,657,ECZEMA,eczema,https://www.apollohospitals.com/diseases-and-conditions/eczema,ECZEMA | Apollo Hospitals,1,9,18839,Overview | Causes | Symptoms | Types Of Eczema | Complications | Diagnosis | Treatment | Prevention | FAQs
17,Ehlers-Danlos Syndrome (EDS),2,slug,modified_disease.json,37,Ehlers-Danlos Syndrome (EDS),ehlers-danlos-syndrome,https://www.niams.nih.gov/health-topics/ehlers-danlos-syndrome,"Ehlers-Danlos Syndrome (EDS) - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1858,Introduction | What is Ehlers-Danlos Syndrome (EDS)? | Common Symptoms of Ehlers-Danlos Syndrome (EDS) | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
17,Ehlers-Danlos Syndrome (EDS),2,slug,common_diseases_conditions_offline.json,661,"Ehlers-Danlos Syndrome - Causes, Symptoms, Diagnosis, Treatment, and Prevention",ehlers-danlos-syndrome,https://www.apollohospitals.com/diseases-and-conditions/ehlers-danlos-syndrome,"Ehlers-Danlos Syndrome - Causes, Symptoms, Diagnosis, and Treatment",2,22,9741,Introduction | Definition | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Symptoms | Warning Signs | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Complications | Short-Term Complications | Long-Term Complications | Prevention | Prognosis & Long-Term Outlook | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
48,"Epilepsy - Symptoms, Risks, Diagnosis, and Treatment",2,name,common_diseases_conditions_offline.json,697,"Epilepsy - Symptoms, Risks, Diagnosis, and Treatment",epilepsy,https://www.apollohospitals.com/diseases-and-conditions/epilepsy,"Epilepsy - Symptoms, Causes, Diagnosis and Treatment",1,10,19239,Overview | Causes | Symptoms | Types of Seizures | Risk Factors | Complications | Diagnosis | Treatment | Prevention | FAQs
48,"Epilepsy - Symptoms, Risks, Diagnosis, and Treatment",2,name,common_diseases_conditions_offline.json,698,"Epilepsy - Symptoms, Risks, Diagnosis, and Treatment",what-is-epilepsy,https://www.apollohospitals.com/diseases-and-conditions/what-is-epilepsy,"Epilepsy - Symptoms, Causes, Diagnosis and Treatment",1,10,19239,Overview | Causes | Symptoms | Types of Seizures | Risk Factors | Complications | Diagnosis | Treatment | Prevention | FAQs
18,Fibromyalgia,2,slug,modified_disease.json,39,Fibromyalgia,fibromyalgia,https://www.niams.nih.gov/health-topics/fibromyalgia,"Fibromyalgia - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1801,Introduction | What is Fibromyalgia? | Common Symptoms of Fibromyalgia | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
18,Fibromyalgia,2,slug,common_diseases_conditions_offline.json,773,"Fibromyalgia - Types, Causes, Symptoms, Risk Factors, Diagnosis and Treatment",fibromyalgia,https://www.apollohospitals.com/diseases-and-conditions/fibromyalgia,"Fibromyalgia - Causes, Symptoms, Diagnosis and Treatment",1,18,12639,Fibromyalgia Definition: | About Fibromyalgia: | What are the symptoms of Fibromyalgia? | What are the causes of Fibromyalgia? | What are the types of Fibromyalgia Pain? | What are the complications of Fibromyalgia? | Risk Factors for Fibromyalgia | When Should You Visit Your Doctor for Fibromyalgia? | Fibromyalgia Diagnosis | How is Fibromyalgia Diagnosed? | Ruling Out Other Conditions | Lab Tests and Investigations | Fibromyalgia Treatment Options | Non-Medication Treatments for Fibromyalgia | Medication-Based Treatments | Comprehensive Care at Apollo Hospitals | Conclusion | Frequently Asked Questions (FAQs)
19,Flat Feet (Pes Planus),3,slug|compact_name,modified_disease.json,40,Flat Feet (Pes Planus),flat-feet,https://www.niams.nih.gov/health-topics/foot-problems,"Flat Feet (Pes Planus) - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1816,Introduction | What is Flat Feet (Pes Planus)? | Common Symptoms of Flat Feet (Pes Planus) | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
19,Flat Feet (Pes Planus),3,slug|compact_name,common_diseases_conditions_offline.json,779,"Flat Feet - Causes, Symptoms, Diagnosis, Treatment, and Prevention",flat-feet,https://www.apollohospitals.com/diseases-and-conditions/flat-feet,"Flat Feet - Causes, Symptoms, Diagnosis, and Treatment",2,23,10053,Introduction | What is Flat Feet? | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Common Symptoms of Flat Feet | Warning Signs for Immediate Medical Attention | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations for Different Populations | Potential Complications | Short-Term and Long-Term Complications | Strategies for Prevention | Recommendations | Typical Course of the Disease | Factors Influencing Prognosis | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
19,Flat Feet (Pes Planus),3,slug|compact_name,common_diseases_conditions_offline.json,780,"Flatfeet - Causes, Symptoms, Diagnosis, Treatment, and Prevention",flatfeet,https://www.apollohospitals.com/diseases-and-conditions/flatfeet,"Flatfeet - Causes, Symptoms, Diagnosis, and Treatment",2,23,9631,Introduction | What is Flatfeet? | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Common Symptoms of Flatfeet | Warning Signs for Immediate Medical Attention | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Surgical Options | Non-Pharmacological Treatments | Special Considerations for Different Populations | Potential Complications of Untreated Flatfeet | Short-Term and Long-Term Complications | Strategies for Preventing Flatfeet | Typical Course of the Disease | Factors Influencing Prognosis | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
20,Hepatitis B,3,slug|name,modified_disease.json,51,Hepatitis B,hepatitis-b,https://www.who.int/news-room/fact-sheets/detail/hepatitis-b,"Hepatitis B - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1331,Introduction | What is Hepatitis B? | Common Symptoms of Hepatitis B | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
20,Hepatitis B,3,slug|name,common_diseases_conditions_offline.json,926,Hepatitis B,hepatitis-b,https://www.apollohospitals.com/diseases-and-conditions/hepatitis-b,What is Hepatitis B : Symptoms & Prevention - Ask Apollo,1,3,1393,Hepatitis B | Symptoms | Prevention
20,Hepatitis B,3,slug|name,common_diseases_conditions_offline.json,927,Hepatitis B,hepatitis-b-0,https://www.apollohospitals.com/diseases-and-conditions/hepatitis-b-0,"Hepatitis-B - Symptoms, Causes and Treatment - Apollo Hospital Blog",1,1,5798,None
21,Hepatitis E,2,slug,modified_disease.json,52,Hepatitis E,hepatitis-e,https://www.who.int/news-room/fact-sheets/detail/hepatitis-e,"Hepatitis E - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1001,Introduction | What is Hepatitis E? | Common Symptoms of Hepatitis E | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
21,Hepatitis E,2,slug,common_diseases_conditions_offline.json,929,"Hepatitis E - Causes, Symptoms, Diagnosis, Treatment, and Prevention",hepatitis-e,https://www.apollohospitals.com/diseases-and-conditions/hepatitis-e,"Hepatitis E - Causes, Symptoms, Diagnosis, and Treatment",2,19,7191,Introduction | Definition | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Symptoms | Warning Signs for Immediate Medical Attention | Clinical Evaluation | Diagnostic Tests | Medical Treatments | Non-Pharmacological Treatments | Special Considerations | Complications | Prevention | Prognosis & Long-Term Outlook | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
49,Lung Cancer,2,slug,common_diseases_conditions_offline.json,1214,Lung Cancer,lung-cancer,https://www.apollohospitals.com/hyderabad/diseases-and-conditions/lung-cancer,Lung Cancer | Apollo Hospitals,1,31,12584,"Advanced Oncology Care With Compassion, Expertise and Innovation | Understanding Lung Cancer | Why Early Detection Matters | Risk Factors | Warning Signs and Symptoms | Screening and Diagnosis | Comprehensive Treatment Options | Thoracic (Lung) Surgery | Medical Oncology | Radiation Oncology | Pulmonology and Interventional Pulmonology | Radiology and Nuclear Medicine | Pathology and Molecular Genetics | Anesthesia and Critical Care | Rehabilitation and Supportive Care | Nursing and Care Navigation | Clinical Trials and Second Opinions | Our Patient-Centered Care Approach | Post-Treatment Care and Survivorship | Why Choose Apollo Hospitals Hyderabad | Q1. What are the main symptoms of lung cancer? | Q2. Who should consider lung cancer screening? | Q3. Can non-smokers develop lung cancer? | Q4. What happens after lung cancer treatment? | Q5. Why is cancer staging important? | Q6. Is lung cancer curable if detected early? | Q7. Do targeted therapy and immunotherapy work for all patients? | Q8. Does lung cancer progress rapidly? | Q9. What lifestyle changes support recovery during treatment? | Q10. What makes Apollo Hospitals Hyderabad ideal for lung cancer care? | Common Myths About Lung Cancer"
49,Lung Cancer,2,slug,common_diseases_conditions_offline.json,1215,"Lung Cancer - Early Signs, Risk Factors, Diagnosis, and Treatment Explained",lung-cancer,https://www.apollohospitals.com/diseases-and-conditions/lung-cancer,"Lung Cancer - Symptoms, Causes, Risk Factors, Diagnosis and Treatment",1,32,16042,"None | What Is Lung Cancer? | Types of Lung Cancer | What Are the Causes and Risk Factors for Lung Cancer? | Lifestyle Risk Factors: | Environmental Risk Factors: | Genetic and Medical Risk Factors: | What Are the Symptoms of Lung Cancer? | Common Early Signs: | Advanced Symptoms: | How Is Lung Cancer Diagnosed? | Diagnostic Steps and Tests: | Staging and Grading of Lung Cancer | What Are the Treatment Options for Lung Cancer? | 1. Surgery | 2. Medical Treatment (Chemotherapy, Targeted Therapy, Immunotherapy) | 3. Radiation Therapy | 4. Proton Therapy | Prognosis and Survival Rates for Lung Cancer | Screening and Prevention of Lung Cancer | Early Detection: | Prevention Strategies: | For International Patients: Your Seamless Journey to Apollo Hospitals | Q1: Is Lung Cancer curable? | Q2: What is the survival rate for Lung Cancer? | Q3: What are the side effects of Lung Cancer treatment? | Q4: Can Lung Cancer come back (recurrence)? | Q5: What is the typical recovery time after Lung Cancer surgery? | Q6: Can a non-smoker get Lung Cancer? | Q7: What is the difference between non-small cell and small cell lung cancer? | Q8: What is a ""pack-year"" in lung cancer screening? | Q9: Is there any way to prevent Lung Cancer?"
22,Lyme Disease,2,slug,modified_disease.json,72,Lyme Disease,lyme-disease,https://www.niams.nih.gov/health-topics/lyme-disease,"Lyme Disease - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1680,Introduction | What is Lyme Disease? | Common Symptoms of Lyme Disease | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
22,Lyme Disease,2,slug,common_diseases_conditions_offline.json,1218,"Lyme Disease - Causes, Symptoms, Diagnosis, Treatment, and Prevention",lyme-disease,https://www.apollohospitals.com/diseases-and-conditions/lyme-disease,"Lyme Disease - Causes, Symptoms, Diagnosis, and Treatment",2,23,12778,Introduction | What is Lyme Disease? | Infectious/Environmental Causes | Genetic/Autoimmune Causes | Lifestyle and Dietary Factors | Key Risk Factors | Common Symptoms of Lyme Disease | Warning Signs for Immediate Medical Attention | Clinical Evaluation | Diagnostic Tests | Differential Diagnosis | Medical Treatments | Non-Pharmacological Treatments | Special Considerations for Different Populations | Potential Complications | Short-Term and Long-Term Complications | Strategies for Preventing Lyme Disease | Hygiene Practices and Lifestyle Changes | Typical Course of the Disease | Factors Influencing Prognosis | Frequently Asked Questions (FAQs) | When to See a Doctor | Conclusion & Disclaimer
23,Malaria,2,slug,modified_disease.json,73,Malaria,malaria,https://www.who.int/news-room/fact-sheets/detail/malaria,"Malaria - Symptoms, Causes, Diagnosis, Treatment, and Prevention",2,13,1315,Introduction | What is Malaria? | Common Symptoms of Malaria | Causes | Diagnosis | Treatment | Key Risk Factors | Prevention | Prevalence | Category | Alphabetical Index | Disease ID | Source
23,Malaria,2,slug,common_diseases_conditions_offline.json,1236,Malaria,malaria,https://www.apollohospitals.com/diseases-and-conditions/malaria,"Malaria: Causes, Symptoms, Diagnosis and Treatment - Apollo Hosptitals",1,6,14802,None | How does one get malaria? | How is malaria spread? | What are the symptoms of severe malaria? | Sympto ms of severe malaria include: | What are the most common antim alarial drugs used?
